tweets,count
에스디바이오센서 729억원 규모 코로나 진단키트 日 공급 https t co QiWK7HsFc1,0
에스디바이오센서 729억일본에 원어치 코로나19 진단키트 공급 https t co YukflhjzaM,1
특징주 에스디바이오센서 일본기업과 코로나19 신속진단키트 계약 1 27 ↑ https t co VBV7rdFvQX,2
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 https t co yKmsbSyMZH 파트너스 활동으로 수수료를 받을수 있어요61 https t co 2Vt3ekSGpK,3
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 6개 https t co RKWp2NhZmh 파트너스 활동으로 수수료를 받을수 있어 https t co XlcvF4mdqI,4
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 7개 https t co RweASQTWbI 파트너스 활동으로 수수료를 받을수 있어 https t co wZERW3Vcok,5
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 8개 https t co ZST49QlXWn 파트너스 활동으로 수수료를 받을수 있어 https t co XDhn8YQY87,6
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 10개 https t co kOCzBviyOl 파트너스 활동으로 수수료를 받을수 있 https t co VkcnbrMAz5,7
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 9개 https t co UIGnEajVaA 파트너스 활동으로 수수료를 받을수 있어 https t co yfqCdqKr79,8
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 20개 https t co 7C8OfMwUnv 파트너스 활동으로 수수료를 받을수 있 https t co CTqo5joPng,9
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 30개 https t co LtdWNASeB6 파트너스 활동으로 수수료를 받을수 있 https t co 8PrgFOkyK3,10
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 20개 https t co SJH9cIOH5F 파트너스 활동으로 수수료를 받을수 있 https t co 7ywKmJNOJ8,11
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 6개 https t co RKWp2NhZmh 파트너스 활동으로 수수료를 받을수 있어 https t co Dm5iNiY3M4,12
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 https t co dLAFYGY5cW 파트너스 활동으로 수수료를 받을수 있어요59 https t co 543sCC7TqN,13
당일발송 3M손소독제 500ml증정 코로나19 자가 진단 키트 20회용 SD바이오센서 2매입x10키트 에스디바이오센서 항원 신속진단검사키트 델타 변이 오미크론 변이 판별 2매입x10세트 https t co BKT5OKEC56,14
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 20개 https t co Uh0eW2DpBJ 파트너스 활동으로 수수료를 받을수 있 https t co lmXPi95nDr,15
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 10개 https t co XhOWuyRcwD 파트너스 활동으로 수수료를 받을수 있 https t co C2m5VpoALB,16
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 9개 https t co li4KD89X5j 파트너스 활동으로 수수료를 받을수 있어 https t co msuU3jrivl,17
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 7개 https t co 3Y6X7TwD9a 파트너스 활동으로 수수료를 받을수 있어 https t co 46g7CZZz2G,18
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 8개 https t co bqIoONrTBR 파트너스 활동으로 수수료를 받을수 있어 https t co vdXVC6EgXk,19
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 30개 https t co a1drhheXfa 파트너스 활동으로 수수료를 받을수 있 https t co j6RdIPIYhf,20
에스디바이오센서 싱가포르와 1369억원 코로나 자가검사키트 공급계약 https t co baaSO7UB6h,21
투자일지 2022년 첫 매수 에스디바이오센서 진단키트 매수하고 다음 날 바로 6 빠짐 cut 이유 팍스로비드 도입 교훈 역시 바이오쪽은 쳐다보지도 말자 주식,22
에스디바이오센서 美 정부에 998억원 규모 자가검사키트 공급 https t co ATuNGplkYS,23
에스디바이오센서 998억원 규모 코로나 자가검사키트 美 공급 https t co g8Vp3YLX4w,24
당일발송 3M손소독제 500ml증정 코로나19 자가 진단 키트 20회용 SD바이오센서 2매입x10키트 에스디바이오센서 항원 신속진단검사키트 델타 변이 오미크론 변이 판별 2매입x10세트 https t co kqoXyec48a,25
SD바이오센서 코로나 자가 진단 키트 약국전용 코로나 검사 키트 에스디바이오센서 진단 코로나19 항원 신속진단키트 코로나키트 당일발송 델타 변이 오미크론 변이 판별 감염 여부 판단 1매 https t co e8zzuAwp5P,26
에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 https t co Vz2tQWIYne 파트너스 활동으로 수수료를 받을수 있어요68 https t co noIJgkdnE1,27
코로나 자가 진단 키트 검사 에스디바이오센서 휴마시스 코비드 19 홈 테스트 SD 바이오센서 검사키트 https t co vi4Z90jGAl 파트너스 활동으로 수수료를 받을수 있어요12 https t co BR3FDAQoO3,28
당일발송 3M손소독제 500ml증정 코로나19 자가 진단 키트 20회용 SD바이오센서 2매입x10키트 에스디바이오센서 항원 신속진단검사키트 델타 변이 오미크론 변이 판별 2매입x10세트 https t co MxSRLezQIa,29
당일발송 코로나19 신속 항원 자가진단키트 약국전용 SD바이오센서 신속진단키트 에스디바이오센서 진단키트 코로나 자가 진단 키트 코로나키트 홈테스트 델타변이 오미크론 변이 판별 2매입 https t co ShhEy3EDpE,30
당일발송 3M손소독제 500ml증정 코로나19 자가 진단 키트 20회용 SD바이오센서 2매입x10키트 에스디바이오센서 항원 신속진단검사키트 델타 변이 오미크론 변이 판별 2매입x10세트 https t co eZRCvtRJxg,31
